"","character","trait_max","trait_min","avg_rating","number_ratings","anchor_trait"
"34","Dolores Abernathy","devoted","unfaithful",85.5,36,"devoted"
"35","Dolores Abernathy","fresh","stinky",85.4,31,"fresh"
"36","Dolores Abernathy","adventurous","stick-in-the-mud",85.3,254,"adventurous"
"37","Dolores Abernathy","chosen one","everyman",85.3,34,"chosen one"
"38","Dolores Abernathy","western","eastern",85.2,36,"eastern"
"39","Dolores Abernathy","coordinated","clumsy",85.1,234,"clumsy"
"40","Dolores Abernathy","complicated","simple",85,221,"complicated"
"41","Dolores Abernathy","open to new experinces","uncreative",84.9,239,"open to new experinces"
"42","Dolores Abernathy","assertive","passive",84.9,249,"assertive"
"43","Dolores Abernathy","🧗","🛌",84.8,28,"🧗"
"44","Dolores Abernathy","legit","scrub",84.7,34,"legit"
"45","Dolores Abernathy","believable","poorly-written",84.6,40,"believable"
"46","Dolores Abernathy","resourceful","helpless",84.5,113,"helpless"
"47","Dolores Abernathy","resolute","wavering",84.5,21,"resolute"
"48","Dolores Abernathy","independent","codependent",84.4,252,"codependent"
"49","Dolores Abernathy","deviant","average",84.2,166,"average"
"50","Dolores Abernathy","charming","awkward",83.9,265,"awkward"
"51","Dolores Abernathy","curious","apathetic",83.8,268,"apathetic"
"52","Dolores Abernathy","opinionated","neutral",83.6,19,"neutral"
"53","Dolores Abernathy","bold","shy",83.4,246,"bold"
"54","Dolores Abernathy","extreme","moderate",83.2,266,"extreme"
"55","Dolores Abernathy","confidential","gossiping",83,263,"confidential"
"56","Dolores Abernathy","brave","careful",82.9,276,"brave"
"57","Dolores Abernathy","ambitious","realistic",82.9,23,"ambitious"
"58","Dolores Abernathy","on-time","tardy",82.9,16,"on-time"
"59","Dolores Abernathy","confident","insecure",82.6,266,"confident"
"60","Dolores Abernathy","charismatic","uninspiring",82.4,268,"charismatic"
"61","Dolores Abernathy","studious","goof-off",82.4,20,"goof-off"
"62","Dolores Abernathy","vibrant","geriatric",82.2,36,"geriatric"
"63","Dolores Abernathy","genius","dunce",81.8,276,"dunce"
"64","Dolores Abernathy","egalitarian","racist",81.8,27,"egalitarian"
"65","Dolores Abernathy","treasure","trash",81.5,52,"trash"
"66","Dolores Abernathy","😊","🤣",81.5,20,"🤣"
"67","Dolores Abernathy","radical","centrist",81.5,33,"centrist"
"68","Dolores Abernathy","tactful","indiscreet",81.4,30,"indiscreet"
"69","Dolores Abernathy","knowledgeable","ignorant",81.3,41,"ignorant"
"70","Dolores Abernathy","obsessed","aloof",81.2,244,"aloof"
"71","Dolores Abernathy","decisive","hesitant",81.2,265,"decisive"
"72","Dolores Abernathy","workaholic","slacker",81.1,98,"slacker"
"73","Dolores Abernathy","love-focused","money-focused",80.9,33,"love-focused"
"74","Dolores Abernathy","dominant","submissive",80.8,244,"dominant"
"75","Dolores Abernathy","Swedish","Italian",80.7,37,"Italian"
"76","Dolores Abernathy","involved","remote",80.6,253,"involved"
"77","Dolores Abernathy","wild","tame",80.5,232,"tame"
"78","Dolores Abernathy","stoic","hypochondriac",80.5,30,"hypochondriac"
"79","Dolores Abernathy","interested","bored",80.4,29,"bored"
"80","Dolores Abernathy","deep","shallow",80,48,"deep"
"81","Dolores Abernathy","conspiracist","sheeple",79.9,161,"conspiracist"
"82","Dolores Abernathy","valedictorian","drop out",79.9,17,"drop out"
"83","Dolores Abernathy","serious","playful",79.8,248,"playful"
"84","Dolores Abernathy","introspective","not introspective",79.7,27,"introspective"
"85","Dolores Abernathy","political","nonpolitical",79.3,259,"nonpolitical"
"86","Dolores Abernathy","interesting","tiresome",79.3,288,"interesting"
"87","Dolores Abernathy","suspicious","awkward",79.2,286,"awkward"
"88","Dolores Abernathy","🌟","💩",79.2,15,"🌟"
"89","Dolores Abernathy","stubborn","accommodating",79,32,"accommodating"
"90","Dolores Abernathy","triggered","trolling",78.9,37,"triggered"
"91","Dolores Abernathy","freelance","corporate",78.7,30,"corporate"
"92","Dolores Abernathy","rock","rap",78.7,27,"rap"
"93","Dolores Abernathy","biased","impartial",78.5,230,"biased"
"94","Dolores Abernathy","eloquent","unpolished",78.3,303,"eloquent"
"95","Dolores Abernathy","works hard","plays hard",77.9,263,"plays hard"
"96","Dolores Abernathy","rhythmic","stuttering",77.9,41,"rhythmic"
"97","Dolores Abernathy","outlaw","sheriff",77.8,232,"outlaw"
"98","Dolores Abernathy","hunter","gatherer",77.8,38,"gatherer"
"99","Dolores Abernathy","alert","oblivious",77.7,26,"alert"
"100","Dolores Abernathy","intense","lighthearted",77.6,41,"intense"
"101","Dolores Abernathy","🤠","🤑",77.6,38,"🤑"
"102","Dolores Abernathy","🎨","🏀",77.3,26,"🎨"
"103","Dolores Abernathy","fast","slow",77,264,"fast"
"104","Dolores Abernathy","master","apprentice",77,114,"apprentice"
"105","Dolores Abernathy","country-bumpkin","city-slicker",77,21,"city-slicker"
"106","Dolores Abernathy","focused on the future","focused on the present",76.8,276,"focused on the future"
"107","Dolores Abernathy","rural","urban",76.7,23,"rural"
"108","Dolores Abernathy","sturdy","flimsy",76.7,41,"flimsy"
"109","Dolores Abernathy","genocidal","not genocidal",76.7,28,"genocidal"
"110","Dolores Abernathy","genuine","sarcastic",76.3,265,"genuine"
"111","Dolores Abernathy","fighter","lover",76.1,25,"fighter"
"112","Dolores Abernathy","secretive","open-book",75.8,49,"open-book"
"113","Dolores Abernathy","vintage","trendy",75.7,29,"trendy"
"114","Dolores Abernathy","bossy","meek",75.4,272,"bossy"
"115","Dolores Abernathy","angry","good-humored",75.4,247,"angry"
"116","Dolores Abernathy","competitive","cooperative",75.2,254,"competitive"
"117","Dolores Abernathy","👽","🤡",75.1,31,"👽"
"118","Dolores Abernathy","deliberate","spontaneous",75.1,280,"deliberate"
"119","Dolores Abernathy","authoritarian","democratic",75,263,"authoritarian"
"120","Dolores Abernathy","hard","soft",75,229,"hard"
"121","Dolores Abernathy","proletariat","bourgeoisie",75,202,"bourgeoisie"
"122","Dolores Abernathy","profound","ironic",74.9,31,"ironic"
"123","Dolores Abernathy","strict","lenient",74.9,253,"lenient"
"124","Dolores Abernathy","tasteful","lewd",74.7,233,"lewd"
"125","Dolores Abernathy","manicured","scruffy",74.6,228,"manicured"
"126","Dolores Abernathy","direct","roundabout",74.5,292,"direct"
"127","Dolores Abernathy","🥾","👟",74.4,29,"👟"
"128","Dolores Abernathy","oppressed","privileged",74.4,41,"oppressed"
"129","Dolores Abernathy","emancipated","enslaved",74,248,"emancipated"
"130","Dolores Abernathy","romantic","dispassionate",73.9,34,"dispassionate"
"131","Dolores Abernathy","attentive","interrupting",73.9,31,"attentive"
"132","Dolores Abernathy","mischievous","well behaved",73.8,278,"mischievous"
"133","Dolores Abernathy","analysis","common sense",73.8,24,"analysis"
"134","Dolores Abernathy","armoured","vulnerable",73.7,234,"armoured"
"135","Dolores Abernathy","queen","princess",73.7,37,"princess"
"136","Dolores Abernathy","summer","winter",73.7,38,"summer"
"137","Dolores Abernathy","stylish","slovenly",73.6,240,"slovenly"
"138","Dolores Abernathy","tense","relaxed",73.5,272,"relaxed"
"139","Dolores Abernathy","offended","chill",73.5,43,"chill"
"140","Dolores Abernathy","fantastical","realistic",73.5,23,"fantastical"
"141","Dolores Abernathy","child free","pronatalist",73.3,200,"child free"
"142","Dolores Abernathy","Coke","Pepsi",73.2,17,"Coke"
"143","Dolores Abernathy","mysterious","unambiguous",73.1,255,"mysterious"
"144","Dolores Abernathy","forward-thinking","stuck-in-the-past",73.1,16,"forward-thinking"
"145","Dolores Abernathy","spelunker","claustrophobic",72.9,41,"claustrophobic"
"146","Dolores Abernathy","enlightened","lost",72.9,36,"enlightened"
"147","Dolores Abernathy","minimalist","pack rat",72.9,31,"minimalist"
"148","Dolores Abernathy","creative","conventional",72.8,267,"conventional"
"149","Dolores Abernathy","high-tech","low-tech",72.8,251,"high-tech"
"150","Dolores Abernathy","📈","📉",72.8,22,"📈"
"151","Dolores Abernathy","fire","water",72.8,26,"fire"
"152","Dolores Abernathy","utilitarian","decorative",72.7,116,"decorative"
"153","Dolores Abernathy","narcissistic","low self esteem",72.7,47,"low self esteem"
"154","Dolores Abernathy","liberal","conservative",72.6,27,"conservative"
"155","Dolores Abernathy","humorless","funny",72.6,276,"funny"
"156","Dolores Abernathy","idealist","realist",72.4,114,"idealist"
"157","Dolores Abernathy","mad","glad",72.4,17,"glad"
"158","Dolores Abernathy","opinionated","jealous",72.3,30,"jealous"
"159","Dolores Abernathy","crafty","scholarly",72.1,258,"crafty"
"160","Dolores Abernathy","frenzied","sleepy",72.1,42,"frenzied"
"161","Dolores Abernathy","hard","soft",71.9,101,"hard"
"162","Dolores Abernathy","spicy","mild",71.8,253,"mild"
"163","Dolores Abernathy","sad","happy",71.5,254,"happy"
"164","Dolores Abernathy","feisty","gracious",71.5,286,"feisty"
"165","Dolores Abernathy","high standards","desperate",71.1,20,"desperate"
"166","Dolores Abernathy","traumatized","flourishing",71,29,"flourishing"
"167","Dolores Abernathy","💀","🎃",71,29,"🎃"
"168","Dolores Abernathy","generous","stingy",70.9,18,"generous"
"169","Dolores Abernathy","inspiring","cringeworthy",70.9,119,"cringeworthy"
"170","Dolores Abernathy","🦇","🐿",70.9,28,"🐿"
"171","Dolores Abernathy","🎩","🧢",70.9,16,"🎩"
"172","Dolores Abernathy","healthy","sickly",70.7,263,"healthy"
"173","Dolores Abernathy","provincial","cosmopolitan",70.7,226,"cosmopolitan"
"174","Dolores Abernathy","exuberant","subdued",70.7,44,"exuberant"
"175","Dolores Abernathy","machiavellian","transparent",70.4,22,"machiavellian"
"176","Dolores Abernathy","🤖","👻",70.4,31,"👻"
"177","Dolores Abernathy","self-assured","self-conscious",70.3,261,"self-assured"
"178","Dolores Abernathy","chic","cheesy",69.9,25,"cheesy"
"179","Dolores Abernathy","precise","vague",69.8,151,"precise"
"180","Dolores Abernathy","freak","normie",69.6,20,"freak"
"181","Dolores Abernathy","OCD","ADHD",69.5,28,"ADHD"
"182","Dolores Abernathy","pensive","serene",69.4,37,"pensive"
"183","Dolores Abernathy","prideful","envious",69.3,55,"envious"
"184","Dolores Abernathy","arcane","mainstream",68.8,244,"arcane"
"185","Dolores Abernathy","highbrow","lowbrow",68.7,244,"highbrow"
"186","Dolores Abernathy","morning lark","night owl",68.7,169,"morning lark"
"187","Dolores Abernathy","edgy","politically correct",68.5,222,"edgy"
"188","Dolores Abernathy","🙋‍♂️","🙅‍♂️",68.5,27,"🙅‍♂️"
"189","Dolores Abernathy","cool","dorky",68.4,21,"cool"
"190","Dolores Abernathy","thick-skinned","sensitive",68.3,331,"sensitive"
"191","Dolores Abernathy","unorthodox","traditional",68.3,112,"traditional"
"192","Dolores Abernathy","experimental","reliable",68.3,42,"experimental"
"193","Dolores Abernathy","two-faced","one-faced",68.3,29,"one-faced"
"194","Dolores Abernathy","moody","stable",68.2,244,"moody"
"195","Dolores Abernathy","guarded","open",68.2,242,"guarded"
"196","Dolores Abernathy","cunning","honorable",68.1,322,"cunning"
"197","Dolores Abernathy","patriotic","unpatriotic",68.1,38,"patriotic"
"198","Dolores Abernathy","🧠","💪",67.8,32,"💪"
"199","Dolores Abernathy","bold","serious",67.7,251,"bold"
"200","Dolores Abernathy","respectful","rude",67.6,247,"respectful"
"201","Dolores Abernathy","contrarian","yes-man",66.9,24,"contrarian"
"202","Dolores Abernathy","efficient","overprepared",66.9,48,"efficient"
"203","Dolores Abernathy","neat","messy",66.7,171,"messy"
"204","Dolores Abernathy","🐮","🐷",66.7,20,"🐮"
"205","Dolores Abernathy","circular","linear",66.7,26,"circular"
"206","Dolores Abernathy","washed","muddy",66.7,28,"muddy"
"207","Dolores Abernathy","gendered","androgynous",66.6,117,"androgynous"
"208","Dolores Abernathy","miserable","joyful",66.6,37,"joyful"
"209","Dolores Abernathy","wise","foolish",66.5,266,"foolish"
"210","Dolores Abernathy","charming","trusting",66.5,268,"charming"
"211","Dolores Abernathy","good-cook","bad-cook",66.4,26,"bad-cook"
"212","Dolores Abernathy","exhibitionist","bashful",66.4,20,"bashful"
"213","Dolores Abernathy","gamer","non-gamer",66.3,21,"gamer"
"214","Dolores Abernathy","Roman","Greek",66.2,29,"Greek"
"215","Dolores Abernathy","doer","thinker",66.2,13,"doer"
"216","Dolores Abernathy","musical","off-key",66.1,30,"musical"
"217","Dolores Abernathy","intellectual","physical",66,233,"intellectual"
"218","Dolores Abernathy","judgemental","accepting",65.9,169,"accepting"
"219","Dolores Abernathy","bitter","sweet",65.8,245,"bitter"
"220","Dolores Abernathy","cannibal","vegan",65.8,32,"cannibal"
"221","Dolores Abernathy","protagonist","antagonist",65.8,32,"antagonist"
"222","Dolores Abernathy","🤐","😜",65.6,22,"🤐"
"223","Dolores Abernathy","backdoor","official",65.4,224,"backdoor"
"224","Dolores Abernathy","poetic","factual",65.4,37,"factual"
"225","Dolores Abernathy","expressive","monotone",65,28,"expressive"
"226","Dolores Abernathy","sorrowful","cheery",64.8,277,"cheery"
"227","Dolores Abernathy","feminine","masculine",64.8,253,"feminine"
"228","Dolores Abernathy","suspicious","trusting",64.8,246,"suspicious"
"229","Dolores Abernathy","sober","indulgent",64.8,256,"indulgent"
"230","Dolores Abernathy","frugal","lavish",64.8,225,"frugal"
"231","Dolores Abernathy","psychopath","empath",64.8,23,"empath"
"232","Dolores Abernathy","social","reclusive",64.6,35,"reclusive"
"233","Dolores Abernathy","demure","vain",64.5,224,"demure"
"234","Dolores Abernathy","outsider","insider",64.5,169,"insider"
"235","Dolores Abernathy","🦄","🐴",64.5,23,"🐴"
"236","Dolores Abernathy","individualist","communal",64.4,96,"communal"
"237","Dolores Abernathy","punk rock","preppy",64.4,42,"preppy"
"238","Dolores Abernathy","skeptical","spiritual",64.3,244,"skeptical"
"239","Dolores Abernathy","tall","short",64.3,244,"short"
"240","Dolores Abernathy","head@clouds","down2earth",64.1,271,"down2earth"
"241","Dolores Abernathy","multicolored","monochrome",64,102,"monochrome"
"242","Dolores Abernathy","straight","queer",63.7,107,"queer"
"243","Dolores Abernathy","explorer","builder",63.6,243,"builder"
"244","Dolores Abernathy","family-first","work-first",63.6,259,"family-first"
"245","Dolores Abernathy","emotional","unemotional",63.5,36,"emotional"
"246","Dolores Abernathy","🙃","🥰",63.3,28,"🥰"
"247","Dolores Abernathy","prestigious","disreputable",63.1,219,"disreputable"
"248","Dolores Abernathy","jaded","innocent",63.1,32,"innocent"
"249","Dolores Abernathy","reserved","chatty",62.8,252,"chatty"
"250","Dolores Abernathy","crazy","sane",62.8,23,"crazy"
"251","Dolores Abernathy","sage","whippersnapper",62.7,39,"sage"
"252","Dolores Abernathy","extrovert","introvert",62.6,254,"extrovert"
"253","Dolores Abernathy","metaphorical","literal",62.4,234,"literal"
"254","Dolores Abernathy","thin","thick",62.4,179,"thick"
"255","Dolores Abernathy","hoarder","unprepared",62.4,210,"hoarder"
"256","Dolores Abernathy","💔","💝",62.4,31,"💔"
"257","Dolores Abernathy","philosophical","real",62.3,175,"philosophical"
"258","Dolores Abernathy","instinctual","reasoned",62.2,253,"instinctual"
"259","Dolores Abernathy","poor","rich",62.2,221,"poor"
"260","Dolores Abernathy","complimentary","insulting",62.2,92,"complimentary"
"261","Dolores Abernathy","French","Russian",62.1,33,"French"
"262","Dolores Abernathy","slow-talking","fast-talking",62.1,41,"fast-talking"
"263","Dolores Abernathy","modest","flamboyant",62,239,"flamboyant"
"264","Dolores Abernathy","empirical","theoretical",61.8,231,"empirical"
"265","Dolores Abernathy","blue-collar","ivory-tower",61.8,264,"blue-collar"
"266","Dolores Abernathy","bright","depressed",61.8,245,"bright"
"267","Dolores Abernathy","😭","😀",61.7,30,"😀"
"268","Dolores Abernathy","demonic","angelic",61.5,225,"angelic"
"269","Dolores Abernathy","existentialist","nihilist",61.4,113,"existentialist"
"270","Dolores Abernathy","calm","anxious",61.3,273,"anxious"
"271","Dolores Abernathy","giggling","chortling",61.3,26,"chortling"
"272","Dolores Abernathy","ranged","melee",61.1,32,"melee"
"273","Dolores Abernathy","quirky","predictable",61,34,"predictable"
"274","Dolores Abernathy","bad boy","white knight",60.8,31,"bad boy"
"275","Dolores Abernathy","tight","loose",60.7,38,"loose"
"276","Dolores Abernathy","self-improving","self-destructive",60.6,44,"self-destructive"
"277","Dolores Abernathy","chaotic","orderly",60.5,273,"chaotic"
"278","Dolores Abernathy","technophile","luddite",60.5,207,"luddite"
"279","Dolores Abernathy","industrial","domestic",60.5,114,"domestic"
"280","Dolores Abernathy","masochistic","pain-avoidant",60.4,42,"masochistic"
"281","Dolores Abernathy","giving","receiving",60.3,30,"giving"
"282","Dolores Abernathy","😈","😇",60,23,"😇"
"283","Dolores Abernathy","weird","normal",59.8,245,"normal"
"284","Dolores Abernathy","methodical","astonishing",59.8,240,"astonishing"
"285","Dolores Abernathy","cold","warm",59.6,236,"cold"
"286","Dolores Abernathy","unlucky","fortunate",59.3,234,"fortunate"
"287","Dolores Abernathy","libertarian","socialist",59.3,235,"libertarian"
"288","Dolores Abernathy","private","gregarious",59.3,276,"gregarious"
"289","Dolores Abernathy","arrogant","humble",59.2,248,"arrogant"
"290","Dolores Abernathy","optimistic","pessimistic",59.2,244,"optimistic"
"291","Dolores Abernathy","poisonous","nurturing",59.1,128,"nurturing"
"292","Dolores Abernathy","never cries","often crying",59.1,32,"never cries"
"293","Dolores Abernathy","hurried","leisurely",59,273,"hurried"
"294","Dolores Abernathy","disarming","creepy",59,113,"creepy"
"295","Dolores Abernathy","fearmongering","reassuring",59,33,"fearmongering"
"296","Dolores Abernathy","young","old",58.6,257,"old"
"297","Dolores Abernathy","cruel","kind",58.6,281,"cruel"
"298","Dolores Abernathy","impulsive","cautious",58.4,257,"cautious"
"299","Dolores Abernathy","deranged","reasonable",58.4,29,"deranged"
"300","Dolores Abernathy","flower child","goth",58.4,36,"flower child"
"301","Dolores Abernathy","earth","air",58.3,23,"air"
"302","Dolores Abernathy","playful","shy",58,259,"playful"
"303","Dolores Abernathy","atheist","theist",58,110,"atheist"
"304","Dolores Abernathy","abstract","concrete",58,23,"abstract"
"305","Dolores Abernathy","🐐","🦒",58,30,"🐐"
"306","Dolores Abernathy","frank","sugarcoated",58,24,"frank"
"307","Dolores Abernathy","picky","always down",58,33,"always down"
"308","Dolores Abernathy","loveable","punchable",57.9,42,"loveable"
"309","Dolores Abernathy","open-minded","close-minded",57.6,284,"close-minded"
"310","Dolores Abernathy","rational","whimsical",57.5,264,"rational"
"311","Dolores Abernathy","specialist","generalist",57.5,96,"generalist"
"312","Dolores Abernathy","soulful","soulless",57.4,124,"soulful"
"313","Dolores Abernathy","English","German",57.4,37,"English"
"314","Dolores Abernathy","rustic","cultured",57.4,33,"cultured"
"315","Dolores Abernathy","scheduled","spontaneous",57.3,252,"scheduled"
"316","Dolores Abernathy","🐘","🐀",57.3,31,"🐀"
"317","Dolores Abernathy","cynical","gullible",57.2,27,"cynical"
"318","Dolores Abernathy","barbaric","civilized",57.1,249,"barbaric"
"319","Dolores Abernathy","cocky","timid",57.1,23,"cocky"
"320","Dolores Abernathy","imaginative","practical",57,242,"imaginative"
"321","Dolores Abernathy","😏","😬",56.9,27,"😏"
"322","Dolores Abernathy","chaste","lustful",56.8,244,"chaste"
"323","Dolores Abernathy","stoic","expressive",56.7,246,"expressive"
"324","Dolores Abernathy","equitable","hypocritical",56.7,136,"equitable"
"325","Dolores Abernathy","touchy-feely","distant",56.6,36,"distant"
"326","Dolores Abernathy","rigid","flexible",56.3,264,"flexible"
"327","Dolores Abernathy","smooth","rough",56.2,252,"rough"
"328","Dolores Abernathy","quiet","loud",56.1,250,"loud"
"329","Dolores Abernathy","neurotypical","autistic",56.1,217,"autistic"
"330","Dolores Abernathy","street-smart","sheltered",56.1,248,"sheltered"
"331","Dolores Abernathy","presidential","folksy",56.1,45,"folksy"
"332","Dolores Abernathy","cryptic","straightforward",56,235,"cryptic"
"333","Dolores Abernathy","🐩","🐒",56,24,"🐒"
"334","Dolores Abernathy","tailor","blacksmith",56,42,"blacksmith"
"335","Dolores Abernathy","factual","exaggerating",56,23,"exaggerating"
"336","Dolores Abernathy","intimate","formal",55.9,40,"formal"
"337","Dolores Abernathy","thrifty","extravagant",55.9,18,"extravagant"
"338","Dolores Abernathy","dog person","cat person",55.8,29,"cat person"
"339","Dolores Abernathy","entitled","grateful",55.7,24,"entitled"
"340","Dolores Abernathy","indie","pop",55.7,21,"indie"
"341","Dolores Abernathy","jock","nerd",55.4,242,"jock"
"342","Dolores Abernathy","still","twitchy",55.3,20,"still"
"343","Dolores Abernathy","zany","regular",55.1,22,"regular"
"344","Dolores Abernathy","💃","🧕",55.1,32,"💃"
"345","Dolores Abernathy","🥶","🥵",55,26,"🥵"
"346","Dolores Abernathy","loyal","traitorous",54.9,241,"loyal"
"347","Dolores Abernathy","human","animalistic",54.8,277,"animalistic"
"348","Dolores Abernathy","unfixable","fixable",54.7,25,"fixable"
"349","Dolores Abernathy","plastic","wooden",54.7,22,"plastic"
"350","Dolores Abernathy","subjective","objective",54.6,98,"objective"
"351","Dolores Abernathy","unassuming","pretentious",54.6,26,"pretentious"
"352","Dolores Abernathy","basic","hipster",54.5,225,"basic"
"353","Dolores Abernathy","🥴","🥳",54.4,28,"🥳"
"354","Dolores Abernathy","😎","🧐",54.3,30,"🧐"
"355","Dolores Abernathy","quarrelsome","warm",54.2,228,"quarrelsome"
"356","Dolores Abernathy","no-nonsense","dramatic",54.1,131,"dramatic"
"357","Dolores Abernathy","avant-garde","classical",54,112,"avant-garde"
"358","Dolores Abernathy","worldly","innocent",53.8,253,"innocent"
"359","Dolores Abernathy","bookish","sporty",53.8,234,"bookish"
"360","Dolores Abernathy","historical","modern",53.8,164,"historical"
"361","Dolores Abernathy","flirtatious","prudish",53.8,31,"flirtatious"
"362","Dolores Abernathy","orange","purple",53.7,197,"orange"
"363","Dolores Abernathy","concise","long-winded",53.7,26,"concise"
"364","Dolores Abernathy","mathematical","literary",53.6,269,"literary"
"365","Dolores Abernathy","gloomy","sunny",53.6,32,"gloomy"
"366","Dolores Abernathy","monastic","hedonist",53.5,21,"hedonist"
"367","Dolores Abernathy","boy/girl-next-door","celebrity",53.4,29,"boy/girl-next-door"
"368","Dolores Abernathy","dry","moist",53.3,39,"dry"
"369","Dolores Abernathy","clean","perverted",53.3,16,"clean"
"370","Dolores Abernathy","deep","epic",53.2,31,"deep"
"371","Dolores Abernathy","kinky","vanilla",53.1,247,"kinky"
"372","Dolores Abernathy","sensible","ludicrous",53.1,252,"ludicrous"
"373","Dolores Abernathy","devout","heathen",53,247,"devout"
"374","Dolores Abernathy","compersive","jealous",53,211,"compersive"
"375","Dolores Abernathy","mature","juvenile",53,96,"juvenile"
"376","Dolores Abernathy","heroic","villainous",52.9,271,"heroic"
"377","Dolores Abernathy","natural-talent","hard-work",52.9,19,"hard-work"
"378","Dolores Abernathy","oxymoron","tautology",52.7,36,"oxymoron"
"379","Dolores Abernathy","metrosexual","macho",52.6,33,"macho"
"380","Dolores Abernathy","varied","repetitive",52.5,112,"repetitive"
"381","Dolores Abernathy","👩‍🎤","👩‍🔬",52.2,30,"👩‍🎤"
"382","Dolores Abernathy","🚴","🏋️‍♂️",52.2,23,"🏋️‍♂️"
"383","Dolores Abernathy","variable","consistent",52.2,43,"consistent"
"384","Dolores Abernathy","transient","permanent",52.1,125,"permanent"
"385","Dolores Abernathy","impatient","patient",52.1,141,"impatient"
"386","Dolores Abernathy","proactive","reactive",52.1,19,"proactive"
"387","Dolores Abernathy","altruistic","selfish",52,260,"altruistic"
"388","Dolores Abernathy","sexual","asexual",52,20,"asexual"
"389","Dolores Abernathy","scientific","artistic",51.9,269,"artistic"
"390","Dolores Abernathy","pure","debased",51.9,225,"debased"
"391","Dolores Abernathy","overspender","penny-pincher",51.8,26,"overspender"
"392","Dolores Abernathy","🤔","🤫",51.8,26,"🤔"
"393","Dolores Abernathy","'right-brained'","'left-brained'",51.5,148,"'left-brained'"
"394","Dolores Abernathy","refined","rugged",51.3,251,"refined"
"395","Dolores Abernathy","wholesome","salacious",51.3,24,"salacious"
"396","Dolores Abernathy","chivalrous","businesslike",51.3,28,"businesslike"
"397","Dolores Abernathy","👨‍⚕️","👨‍🔧",51.2,32,"👨‍⚕️"
"398","Dolores Abernathy","paranoid","naive",51.2,27,"naive"
"399","Dolores Abernathy","proper","scandalous",51,233,"proper"
"400","Dolores Abernathy","👨‍🚀","🧙",50.8,28,"👨‍🚀"
"401","Dolores Abernathy","logical","emotional",50.7,252,"emotional"
"402","Maeve Millay","persistent","quitter",97.2,21,"persistent"
"403","Maeve Millay","perceptive","unobservant",97.2,32,"perceptive"
"404","Maeve Millay","f***-the-police","tattle-tale",97.2,33,"f***-the-police"
"405","Maeve Millay","🤺","🏌",95.9,14,"🏌"
"406","Maeve Millay","badass","weakass",95.9,31,"badass"
"407","Maeve Millay","motivated","unmotivated",95.7,43,"motivated"
"408","Maeve Millay","bold","shy",95.4,264,"bold"
"409","Maeve Millay","competent","incompetent",95.2,259,"competent"
"410","Maeve Millay","demanding","unchallenging",94.6,22,"demanding"
"411","Maeve Millay","driven","unambitious",94.4,259,"driven"
"412","Maeve Millay","go-getter","slugabed",94.1,22,"go-getter"
"413","Maeve Millay","dominant","submissive",93.9,262,"dominant"
"414","Maeve Millay","resourceful","helpless",93.9,110,"helpless"
"415","Maeve Millay","diligent","lazy",93.6,246,"diligent"
"416","Maeve Millay","alpha","beta",93.6,243,"alpha"
"417","Maeve Millay","rebellious","obedient",93.1,252,"obedient"
